Id,Response
1,1
3,6
4,1
9,2
12,8
13,8
21,6
28,8
30,1
36,8
38,8
43,8
45,1
48,8
50,1
51,8
54,1
55,8
59,8
62,2
63,1
66,8
69,8
82,8
83,1
84,6
86,8
89,8
90,1
92,8
98,7
100,6
105,1
115,8
119,1
124,1
127,8
133,8
140,1
141,8
143,2
151,2
154,8
157,8
163,1
166,1
168,8
170,1
173,8
180,6
182,8
184,6
185,8
195,8
196,8
197,8
212,1
213,6
219,8
225,1
227,5
232,1
239,5
247,1
251,7
254,6
261,1
264,6
267,8
272,8
275,8
277,1
283,8
284,1
287,8
291,8
293,6
294,6
305,1
307,7
309,8
311,7
322,1
323,6
326,1
330,6
335,8
337,8
338,1
341,1
346,7
348,8
352,4
356,8
358,1
366,7
369,2
373,6
375,1
381,6
384,8
386,6
396,8
397,1
399,8
405,8
412,8
417,1
421,7
425,8
427,8
430,6
432,6
433,1
436,8
438,8
441,8
442,5
444,6
446,8
448,1
450,1
454,8
465,8
470,1
472,1
475,6
484,8
495,8
497,8
498,8
501,2
502,1
505,8
515,6
516,8
527,8
529,5
531,6
533,5
537,1
541,8
546,8
548,8
549,8
550,8
553,8
559,8
561,1
564,1
574,8
578,8
579,6
580,8
582,1
584,8
588,8
596,2
602,1
603,2
613,8
614,1
619,8
620,5
624,8
625,8
628,8
630,7
635,8
636,1
637,8
641,8
644,8
648,8
654,8
658,1
664,8
666,1
667,7
670,8
672,7
674,8
676,8
684,8
685,6
693,1
694,8
700,1
702,6
703,7
705,6
711,8
718,2
722,8
726,1
727,1
732,8
735,8
740,1
748,8
750,1
751,8
756,1
762,7
766,8
770,8
771,1
779,1
782,6
784,8
793,7
798,1
800,6
801,8
805,7
807,8
813,8
819,8
820,8
822,8
823,5
833,8
834,1
842,1
845,8
856,8
860,6
864,1
869,8
872,8
877,1
878,8
893,8
894,8
896,1
899,1
900,1
911,1
914,8
917,1
919,8
923,2
925,8
926,2
934,1
938,8
940,1
955,1
956,1
971,7
973,8
978,8
979,8
981,8
988,8
990,8
992,1
996,8
997,1
999,1
1000,8
1006,1
1009,6
1018,7
1025,6
1038,6
1042,8
1045,7
1046,8
1047,6
1050,6
1052,7
1054,8
1057,1
1061,1
1069,1
1071,7
1073,6
1074,8
1075,6
1083,7
1084,1
1089,1
1099,5
1103,2
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,1
1154,8
1158,8
1166,6
1170,6
1172,1
1178,8
1179,8
1181,1
1182,8
1183,8
1191,7
1192,1
1200,1
1205,6
1207,8
1208,6
1209,2
1217,7
1223,8
1225,8
1226,2
1228,1
1230,6
1232,8
1235,8
1237,7
1257,1
1266,1
1267,6
1274,8
1277,8
1278,7
1280,8
1282,8
1293,6
1294,1
1305,8
1306,8
1311,8
1318,7
1320,8
1323,8
1325,1
1328,5
1336,5
1340,8
1341,8
1344,7
1345,7
1348,1
1358,1
1361,8
1364,1
1373,8
1377,6
1378,8
1380,6
1382,1
1383,6
1386,8
1387,1
1390,2
1395,8
1398,2
1402,8
1403,8
1405,8
1407,8
1410,1
1412,1
1419,1
1426,8
1428,8
1436,6
1437,2
1438,1
1441,8
1444,1
1448,1
1454,5
1457,5
1459,8
1463,8
1467,1
1471,1
1475,5
1476,6
1480,8
1481,6
1482,8
1489,7
1491,1
1494,8
1496,8
1500,8
1501,8
1503,7
1504,1
1505,1
1515,1
1517,1
1520,5
1521,4
1523,8
1526,8
1529,7
1530,8
1543,6
1544,8
1547,7
1550,8
1552,7
1554,7
1563,6
1574,8
1575,1
1576,7
1579,1
1582,6
1584,8
1585,8
1589,2
1596,8
1598,2
1611,6
1613,6
1615,6
1618,2
1627,7
1630,1
1638,1
1639,5
1640,8
1642,8
1645,7
1648,6
1654,1
1661,8
1662,1
1663,8
1666,6
1668,1
1670,1
1672,1
1681,7
1682,8
1683,2
1687,8
1688,8
1693,1
1694,1
1700,8
1704,1
1712,8
1716,8
1717,6
1722,7
1724,6
1738,1
1739,5
1740,8
1761,8
1763,8
1765,8
1766,6
1767,8
1771,1
1772,8
1777,8
1784,1
1799,1
1806,8
1810,2
1812,1
1814,6
1818,8
1819,8
1822,1
1823,8
1824,1
1834,7
1835,7
1844,1
1848,1
1849,8
1850,8
1851,2
1856,1
1862,1
1863,7
1872,7
1874,7
1875,8
1877,8
1900,8
1902,8
1904,6
1905,1
1908,8
1914,8
1916,1
1922,1
1933,8
1934,6
1939,6
1942,7
1947,8
1957,8
1971,8
1973,2
1974,6
1977,7
1981,7
1985,8
1987,6
1989,8
2001,1
2002,6
2007,1
2008,8
2011,1
2021,8
2034,8
2040,8
2044,4
2045,8
2048,8
2051,8
2062,8
2066,6
2068,7
2069,1
2074,8
2075,8
2078,8
2079,1
2080,1
2081,1
2084,1
2085,8
2087,8
2096,1
2102,8
2103,1
2107,8
2117,7
2118,2
2120,6
2121,1
2122,2
2130,8
2136,1
2138,8
2140,8
2143,8
2144,1
2145,1
2147,8
2150,1
2154,8
2155,2
2166,1
2169,1
2173,6
2176,2
2178,8
2179,2
2180,8
2184,8
2185,8
2188,6
2190,8
2194,8
2195,8
2198,5
2205,8
2206,8
2207,1
2212,7
2213,8
2216,8
2218,1
2224,8
2225,8
2228,8
2236,8
2242,8
2246,1
2250,8
2255,6
2256,1
2267,1
2268,7
2269,8
2272,1
2275,2
2280,8
2282,8
2287,1
2289,8
2293,8
2296,6
2307,7
2309,8
2313,5
2325,7
2327,8
2336,2
2339,6
2342,8
2347,8
2350,6
2360,6
2364,8
2369,2
2379,6
2394,6
2395,6
2399,8
2402,8
2410,8
2416,1
2420,8
2427,1
2434,8
2435,8
2441,8
2447,1
2452,6
2463,7
2467,8
2468,8
2470,1
2476,6
2483,2
2487,7
2492,8
2502,8
2504,1
2510,8
2511,5
2512,8
2517,1
2520,8
2521,8
2523,6
2524,8
2525,1
2526,1
2528,8
2530,5
2532,1
2536,7
2540,1
2541,8
2543,1
2549,8
2550,1
2556,1
2557,8
2559,8
2565,8
2566,8
2567,1
2568,1
2570,8
2573,8
2577,8
2578,1
2583,2
2586,7
2587,1
2588,8
2591,8
2597,8
2606,7
2607,8
2608,1
2611,2
2612,8
2613,6
2616,8
2621,8
2622,1
2634,8
2639,8
2642,1
2644,1
2650,6
2655,8
2664,8
2667,1
2670,1
2679,2
2681,1
2683,7
2685,8
2687,8
2696,6
2699,8
2712,2
2716,8
2720,8
2725,6
2726,8
2731,7
2733,8
2740,8
2742,1
2748,1
2749,8
2763,6
2771,8
2772,5
2773,8
2783,8
2784,8
2789,1
2796,1
2798,1
2799,8
2800,6
2802,8
2805,1
2809,8
2816,1
2817,7
2821,1
2822,8
2829,7
2832,2
2842,7
2844,8
2846,1
2851,6
2852,1
2853,8
2856,7
2862,1
2866,7
2868,7
2886,8
2892,6
2893,8
2898,8
2917,2
2923,1
2927,5
2930,8
2931,4
2935,8
2936,1
2961,1
2964,8
2967,8
2968,8
2970,8
2977,2
2978,8
2979,8
2985,1
2986,2
2989,5
2997,8
2999,8
3004,1
3008,6
3010,1
3020,8
3022,8
3024,5
3027,8
3032,8
3033,8
3048,1
3053,1
3056,8
3070,8
3071,1
3073,8
3080,8
3098,8
3099,1
3109,8
3110,8
3115,2
3121,8
3128,5
3132,1
3133,1
3141,8
3144,6
3145,1
3154,6
3159,8
3164,6
3168,1
3172,1
3176,1
3186,8
3193,2
3196,8
3199,6
3200,8
3209,8
3210,8
3214,1
3229,7
3230,7
3233,8
3242,1
3244,1
3249,1
3251,6
3253,1
3264,1
3271,2
3272,8
3274,7
3276,2
3280,1
3282,5
3285,8
3297,6
3298,8
3307,6
3309,8
3310,8
3312,1
3314,8
3315,5
3316,7
3319,1
3322,8
3327,8
3332,1
3334,8
3336,2
3338,1
3340,1
3343,5
3352,8
3353,6
3356,8
3357,8
3360,8
3365,8
3366,8
3367,8
3369,8
3374,1
3376,6
3381,8
3385,6
3386,8
3397,8
3403,1
3409,1
3414,8
3415,8
3423,8
3427,6
3428,8
3439,6
3441,8
3442,1
3447,6
3453,8
3456,6
3458,6
3459,1
3462,8
3464,8
3477,8
3480,6
3483,8
3490,6
3497,8
3498,8
3500,5
3504,1
3509,1
3510,8
3511,1
3525,2
3528,6
3529,1
3531,8
3532,8
3536,8
3537,5
3538,1
3547,6
3557,6
3572,8
3573,7
3588,1
3590,7
3597,8
3601,6
3602,8
3608,8
3611,1
3616,8
3619,7
3623,7
3638,1
3641,2
3643,8
3647,1
3648,7
3662,6
3663,8
3665,1
3679,8
3683,6
3692,6
3700,8
3705,1
3706,8
3711,8
3712,5
3716,7
3725,6
3727,8
3739,8
3740,2
3743,1
3744,2
3750,8
3751,5
3752,2
3753,7
3754,2
3761,8
3762,8
3764,1
3773,8
3774,5
3775,8
3776,8
3785,6
3788,8
3791,6
3792,8
3794,7
3797,5
3798,8
3807,5
3808,8
3810,7
3813,7
3815,8
3818,7
3820,1
3824,8
3832,8
3836,8
3837,1
3849,8
3853,7
3861,2
3862,6
3863,1
3867,2
3868,8
3871,8
3873,5
3874,8
3879,8
3881,1
3883,8
3887,6
3888,1
3889,1
3898,2
3901,8
3904,2
3905,5
3907,1
3911,6
3915,6
3917,7
3923,8
3925,1
3931,1
3934,8
3943,6
3946,6
3947,1
3949,1
3958,1
3959,8
3960,6
3969,8
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,1
3995,8
3997,6
4002,8
4003,8
4006,8
4010,8
4011,1
4012,8
4019,8
4020,6
4026,1
4030,6
4033,8
4034,8
4038,1
4045,8
4046,8
4047,1
4048,8
4055,8
4061,8
4063,1
4066,8
4069,8
4076,8
4081,8
4086,8
4087,8
4094,8
4096,6
4105,6
4107,1
4110,7
4115,6
4128,1
4131,8
4136,1
4140,1
4141,5
4142,8
4146,6
4156,6
4159,8
4171,8
4174,2
4175,1
4180,8
4187,8
4191,5
4193,8
4197,8
4201,8
4203,1
4205,8
4206,6
4209,8
4213,8
4215,1
4220,8
4223,8
4225,7
4234,2
4241,7
4244,8
4247,8
4254,6
4255,6
4262,1
4263,8
4266,1
4269,8
4270,1
4271,7
4274,8
4279,1
4286,2
4287,1
4288,8
4290,5
4294,8
4296,1
4299,7
4302,8
4316,8
4320,1
4321,1
4324,6
4325,1
4326,8
4332,8
4334,8
4343,8
4348,8
4350,1
4353,5
4356,8
4361,8
4367,5
4369,8
4371,1
4373,6
4374,1
4376,8
4393,5
4394,6
4397,1
4398,8
4404,8
4410,1
4411,2
4412,8
4414,1
4415,8
4418,7
4420,6
4426,1
4427,7
4430,2
4431,1
4435,8
4437,6
4438,8
4458,6
4461,6
4462,5
4464,1
4482,8
4484,5
4489,1
4494,8
4496,8
4503,8
4508,2
4515,6
4516,8
4517,6
4518,8
4524,5
4525,1
4527,8
4529,8
4535,6
4538,1
4544,6
4545,6
4550,1
4551,7
4554,8
4563,8
4565,8
4573,6
4576,8
4578,8
4587,7
4590,2
4597,1
4600,8
4608,8
4612,1
4615,8
4616,8
4618,7
4620,2
4622,8
4624,7
4628,6
4631,8
4633,8
4646,1
4648,1
4655,8
4669,8
4673,1
4677,8
4680,8
4683,1
4691,2
4694,8
4697,8
4698,1
4704,8
4711,2
4713,6
4716,6
4724,5
4727,8
4730,8
4731,7
4732,1
4741,1
4742,8
4743,8
4753,8
4758,8
4762,1
4765,1
4782,1
4787,8
4788,8
4789,1
4790,8
4792,8
4797,5
4805,6
4806,8
4809,1
4814,8
4823,8
4825,2
4830,6
4832,1
4833,1
4840,2
4841,6
4844,8
4845,8
4849,6
4858,1
4870,7
4875,8
4877,8
4882,8
4891,1
4900,1
4905,7
4907,1
4908,8
4923,1
4924,6
4925,8
4927,6
4933,1
4935,8
4941,2
4944,8
4946,1
4953,6
4956,2
4968,1
4985,1
4989,8
4995,1
5005,6
5010,1
5016,8
5018,8
5029,1
5031,1
5037,8
5039,1
5041,1
5043,1
5052,8
5055,1
5059,8
5063,8
5067,8
5070,6
5072,7
5073,7
5079,8
5086,8
5093,6
5094,1
5098,8
5101,8
5108,1
5112,8
5113,8
5119,8
5120,8
5121,6
5126,8
5127,8
5128,8
5131,6
5137,1
5146,8
5148,6
5150,7
5159,8
5160,1
5163,1
5170,6
5177,6
5179,8
5185,6
5188,8
5190,1
5191,6
5192,6
5195,1
5198,7
5208,1
5214,8
5215,8
5219,4
5220,8
5223,1
5224,2
5225,8
5227,2
5229,8
5231,1
5236,8
5237,1
5238,6
5240,7
5248,8
5252,8
5256,1
5269,8
5270,8
5272,8
5275,8
5276,7
5279,8
5280,8
5281,8
5291,2
5292,6
5294,6
5296,8
5302,8
5307,8
5312,8
5313,1
5314,8
5315,1
5316,8
5317,8
5318,1
5321,1
5322,8
5323,6
5324,8
5334,8
5343,6
5344,2
5345,6
5355,5
5364,6
5369,8
5371,8
5380,8
5385,1
5392,1
5395,8
5396,8
5398,8
5400,8
5402,8
5411,8
5412,1
5414,6
5417,1
5424,8
5427,8
5428,8
5430,1
5432,7
5438,1
5448,8
5459,1
5460,1
5461,1
5463,1
5477,6
5479,8
5481,8
5482,1
5491,1
5493,8
5506,1
5507,1
5517,2
5532,8
5533,7
5534,8
5541,8
5542,1
5548,2
5551,1
5553,6
5554,8
5565,7
5574,8
5575,8
5576,2
5583,6
5584,1
5586,2
5587,1
5588,8
5596,8
5597,8
5601,8
5603,8
5613,1
5614,8
5618,8
5619,8
5621,8
5622,8
5627,8
5628,6
5630,8
5633,1
5639,4
5643,8
5649,8
5653,8
5655,1
5664,1
5667,1
5670,8
5674,1
5678,8
5680,5
5687,1
5692,7
5694,6
5697,8
5701,1
5704,8
5710,1
5711,6
5716,1
5724,8
5725,1
5726,1
5727,8
5731,7
5749,6
5751,8
5755,6
5756,8
5761,8
5767,1
5768,5
5770,8
5772,1
5773,1
5775,8
5776,8
5784,1
5792,2
5793,7
5794,8
5797,1
5799,8
5800,8
5805,8
5809,8
5813,6
5817,8
5824,1
5829,1
5832,5
5835,1
5837,1
5847,8
5854,7
5857,6
5860,8
5872,1
5874,8
5876,1
5880,8
5882,8
5891,2
5892,1
5906,8
5922,8
5923,7
5927,7
5929,6
5941,6
5942,6
5945,8
5947,8
5950,8
5951,7
5952,1
5960,8
5965,1
5967,8
5974,8
5977,2
5984,6
5987,8
5991,2
5996,1
5997,8
6002,2
6005,1
6008,8
6009,1
6014,1
6027,8
6030,1
6033,8
6034,5
6035,8
6043,8
6046,1
6047,6
6048,8
6070,7
6071,1
6085,1
6090,7
6091,8
6092,6
6098,8
6106,8
6108,8
6111,2
6115,8
6117,1
6121,6
6124,6
6126,8
6129,7
6131,8
6141,1
6142,1
6143,6
6144,6
6147,1
6148,6
6155,6
6158,6
6159,6
6162,8
6166,8
6172,1
6177,2
6178,8
6181,6
6182,8
6185,7
6191,8
6195,8
6204,1
6205,8
6211,8
6212,8
6219,6
6220,8
6223,1
6226,8
6239,1
6243,8
6249,2
6252,8
6255,5
6260,6
6261,8
6263,1
6264,7
6270,2
6271,8
6272,1
6274,1
6277,2
6280,7
6284,8
6286,4
6288,6
6290,8
6293,6
6299,7
6301,8
6304,2
6306,1
6308,8
6309,1
6312,8
6321,6
6322,1
6331,1
6335,8
6340,8
6343,8
6344,1
6347,7
6348,6
6349,8
6350,8
6354,8
6355,6
6362,1
6367,8
6372,8
6375,8
6379,2
6384,1
6386,8
6390,6
6396,5
6401,2
6403,7
6408,1
6410,6
6420,8
6430,8
6436,7
6440,8
6442,8
6443,8
6444,6
6459,8
6466,6
6469,5
6474,8
6475,1
6476,1
6490,1
6491,1
6496,1
6497,8
6498,6
6499,8
6501,2
6514,2
6515,6
6524,8
6526,1
6532,8
6537,1
6538,6
6541,2
6546,6
6551,1
6554,1
6557,1
6560,1
6565,1
6566,6
6578,5
6582,8
6587,8
6593,7
6596,6
6611,8
6615,8
6620,8
6626,5
6627,1
6628,8
6635,1
6639,7
6641,1
6645,1
6660,8
6663,7
6669,7
6674,6
6682,8
6685,1
6687,8
6692,1
6695,8
6696,6
6699,6
6700,7
6701,8
6705,1
6707,1
6709,8
6711,8
6714,6
6722,1
6723,8
6724,7
6726,6
6733,8
6734,6
6735,8
6736,6
6738,1
6741,8
6746,4
6754,8
6758,2
6763,2
6764,4
6768,8
6778,5
6784,8
6785,6
6787,1
6806,6
6825,2
6830,1
6831,6
6832,6
6833,1
6835,1
6842,8
6843,8
6853,1
6859,8
6860,2
6862,8
6867,1
6868,8
6885,8
6888,5
6889,7
6897,1
6898,1
6900,7
6902,1
6903,1
6907,2
6909,1
6911,1
6925,8
6930,1
6931,2
6933,5
6937,1
6941,1
6948,8
6950,8
6956,8
6957,8
6960,8
6962,5
6969,1
6971,1
6973,1
6980,8
6983,1
6985,6
6999,8
7005,8
7006,8
7007,6
7012,6
7013,6
7016,1
7017,8
7020,2
7024,6
7026,1
7027,5
7029,6
7032,2
7034,8
7044,8
7054,1
7057,8
7058,6
7060,7
7065,1
7069,7
7071,6
7076,2
7077,7
7081,1
7082,1
7093,8
7095,1
7098,1
7099,1
7105,1
7106,7
7122,6
7129,8
7130,8
7135,8
7136,1
7137,7
7138,8
7141,8
7143,1
7159,8
7162,8
7165,1
7169,1
7171,2
7172,7
7175,8
7178,1
7182,7
7190,8
7194,1
7196,6
7205,8
7207,8
7210,8
7211,1
7216,8
7219,2
7222,1
7224,8
7234,6
7237,8
7242,1
7246,8
7247,1
7251,5
7252,2
7257,1
7276,1
7281,8
7286,8
7287,8
7295,6
7297,8
7300,7
7307,8
7308,2
7310,1
7315,1
7317,7
7318,8
7322,6
7325,6
7326,8
7332,7
7342,8
7345,8
7347,4
7349,7
7352,7
7353,1
7354,8
7370,6
7392,8
7394,8
7396,1
7397,6
7400,8
7402,1
7406,8
7409,8
7410,8
7412,1
7414,1
7419,8
7420,7
7421,8
7424,7
7428,8
7431,8
7435,8
7437,8
7445,7
7449,6
7456,8
7458,8
7459,6
7463,1
7464,8
7465,8
7467,8
7471,1
7472,1
7485,1
7494,2
7505,8
7511,8
7512,8
7513,1
7514,2
7515,8
7523,1
7530,7
7531,8
7536,8
7538,8
7542,1
7543,8
7549,5
7557,8
7559,5
7560,8
7563,5
7564,8
7567,8
7572,8
7575,2
7588,7
7595,6
7596,8
7602,8
7609,6
7612,8
7613,1
7621,8
7622,8
7624,8
7625,8
7629,8
7632,8
7634,1
7636,8
7637,1
7638,1
7640,1
7643,8
7648,8
7653,1
7654,8
7662,1
7671,8
7674,6
7682,1
7683,8
7686,6
7690,1
7692,1
7694,6
7695,6
7700,1
7714,4
7715,1
7721,8
7728,8
7737,1
7739,2
7745,2
7747,5
7761,8
7762,8
7763,6
7770,5
7771,1
7774,8
7776,2
7779,2
7793,6
7795,8
7796,8
7800,8
7803,8
7808,1
7811,8
7812,7
7813,2
7814,6
7818,2
7826,8
7827,8
7831,8
7834,1
7837,1
7841,8
7842,8
7843,5
7844,8
7851,8
7854,8
7856,7
7859,8
7866,1
7869,8
7870,6
7872,1
7886,1
7892,6
7893,7
7908,8
7910,8
7914,8
7919,1
7922,8
7930,2
7932,1
7947,1
7949,6
7950,8
7952,1
7953,1
7955,8
7960,6
7961,6
7962,7
7963,8
7967,1
7968,8
7975,6
7977,1
7980,8
7985,6
7987,1
7994,1
7995,8
7999,8
8005,8
8007,8
8009,8
8014,8
8017,5
8018,8
8024,8
8025,1
8026,7
8029,2
8031,8
8035,6
8049,6
8058,2
8060,8
8061,7
8070,5
8071,8
8072,1
8073,1
8075,1
8076,1
8081,6
8082,1
8090,6
8094,6
8097,1
8107,1
8112,1
8115,1
8120,8
8123,1
8128,1
8129,8
8133,8
8138,8
8142,1
8143,8
8145,6
8146,1
8147,1
8151,7
8153,8
8163,2
8167,8
8168,1
8169,1
8172,5
8178,1
8184,8
8185,7
8186,5
8187,1
8191,6
8196,6
8205,6
8206,8
8216,1
8218,1
8219,8
8227,8
8228,8
8230,8
8231,1
8234,8
8241,8
8242,8
8245,8
8246,8
8251,8
8254,5
8262,2
8269,8
8277,8
8286,1
8287,1
8288,1
8289,6
8292,5
8293,6
8294,6
8296,1
8306,6
8307,1
8314,1
8317,1
8320,8
8326,8
8329,6
8330,1
8331,5
8343,6
8350,1
8352,1
8354,1
8355,1
8356,6
8357,1
8364,1
8370,5
8381,5
8382,7
8383,8
8386,1
8389,8
8390,1
8393,1
8399,8
8400,6
8403,5
8404,1
8405,8
8409,1
8413,6
8417,7
8418,5
8423,6
8427,6
8431,8
8432,8
8434,8
8437,8
8447,6
8449,8
8457,1
8459,1
8461,1
8466,6
8467,8
8469,8
8479,1
8481,8
8493,8
8496,8
8501,1
8502,8
8508,6
8509,8
8514,8
8518,6
8519,8
8527,8
8530,6
8537,1
8539,8
8542,6
8547,8
8550,5
8554,8
8556,1
8560,8
8566,1
8569,8
8571,8
8572,6
8575,1
8580,2
8584,6
8585,8
8587,1
8593,6
8595,1
8597,2
8598,8
8599,8
8601,8
8607,1
8612,7
8621,8
8625,1
8630,8
8631,6
8633,1
8644,8
8650,1
8652,8
8656,8
8657,8
8659,6
8660,8
8665,1
8667,1
8668,8
8670,8
8682,8
8690,7
8692,8
8698,8
8702,1
8710,7
8713,8
8714,8
8715,1
8718,1
8719,1
8722,8
8737,5
8738,8
8739,8
8740,1
8745,8
8750,8
8754,1
8757,1
8762,1
8769,8
8773,8
8782,5
8790,1
8804,7
8815,8
8818,6
8819,6
8828,1
8831,1
8838,8
8841,5
8847,1
8849,1
8857,1
8860,1
8861,8
8875,8
8884,7
8889,8
8891,8
8893,8
8894,6
8897,8
8909,1
8928,8
8932,5
8933,2
8934,8
8938,8
8943,1
8946,7
8951,2
8953,7
8959,1
8960,6
8963,6
8968,8
8972,7
8973,5
8977,1
8978,1
8980,8
8984,1
8987,8
8989,8
8995,8
8996,8
9001,1
9003,1
9005,6
9007,8
9009,7
9012,8
9015,8
9024,1
9031,6
9032,6
9035,8
9053,8
9060,6
9067,8
9068,8
9077,1
9080,8
9084,8
9087,1
9090,6
9095,1
9098,1
9101,8
9108,8
9112,1
9113,1
9117,1
9123,8
9124,8
9127,1
9130,6
9132,7
9136,6
9138,8
9142,8
9143,6
9145,8
9146,7
9148,8
9151,1
9154,8
9158,8
9163,6
9169,6
9171,8
9176,2
9181,6
9185,8
9187,8
9188,8
9190,8
9204,8
9205,6
9207,5
9213,8
9220,1
9221,7
9224,1
9225,8
9227,8
9232,8
9234,8
9237,6
9238,8
9240,1
9248,1
9253,8
9254,7
9257,1
9264,1
9267,6
9269,8
9271,1
9272,6
9276,1
9278,2
9280,6
9281,8
9286,2
9288,8
9290,6
9291,8
9293,5
9294,8
9295,8
9298,8
9303,2
9304,8
9307,8
9309,8
9314,6
9315,6
9317,8
9318,8
9319,1
9320,1
9326,8
9331,1
9339,6
9342,7
9349,2
9353,1
9359,8
9362,1
9366,8
9376,1
9384,1
9386,1
9390,6
9396,6
9399,8
9402,6
9415,6
9420,6
9421,1
9422,1
9425,1
9428,8
9440,8
9441,5
9443,1
9451,8
9456,2
9457,1
9459,7
9465,1
9475,8
9483,1
9485,8
9488,8
9492,6
9494,1
9495,2
9498,4
9502,1
9506,8
9509,7
9512,8
9516,8
9520,8
9524,6
9531,1
9532,8
9538,8
9547,7
9549,2
9550,1
9552,8
9555,8
9563,8
9565,8
9574,1
9586,1
9587,8
9593,8
9594,1
9597,8
9600,1
9603,8
9607,8
9608,1
9609,1
9610,8
9612,8
9613,6
9618,1
9619,8
9621,6
9625,1
9638,8
9644,8
9650,2
9652,2
9654,8
9660,8
9665,6
9666,1
9668,7
9672,8
9674,8
