Id,Response
1,1
3,5
4,1
9,8
12,1
13,1
21,6
28,1
30,1
36,1
38,8
43,8
45,1
48,1
50,1
51,8
54,1
55,8
59,8
62,2
63,1
66,1
69,8
82,1
83,1
84,5
86,8
89,8
90,1
92,1
98,5
100,6
105,1
115,8
119,1
124,1
127,8
133,1
140,1
141,1
143,2
151,5
154,1
157,8
163,1
166,1
168,8
170,1
173,1
180,5
182,8
184,5
185,1
195,8
196,8
197,8
212,1
213,6
219,1
225,6
227,5
232,5
239,5
247,5
251,5
254,6
261,1
264,6
267,8
272,8
275,8
277,1
283,1
284,1
287,5
291,1
293,5
294,5
305,1
307,2
309,1
311,5
322,1
323,6
326,1
330,6
335,1
337,8
338,1
341,1
346,5
348,1
352,5
356,8
358,5
366,5
369,6
373,6
375,1
381,6
384,1
386,6
396,8
397,1
399,5
405,8
412,8
417,1
421,5
425,1
427,8
430,2
432,6
433,1
436,8
438,1
441,1
442,5
444,6
446,1
448,1
450,1
454,8
465,1
470,5
472,1
475,6
484,1
495,1
497,1
498,8
501,5
502,1
505,8
515,1
516,5
527,8
529,5
531,6
533,6
537,1
541,1
546,1
548,8
549,8
550,8
553,5
559,8
561,5
564,1
574,1
578,1
579,6
580,8
582,1
584,8
588,1
596,5
602,1
603,5
613,1
614,1
619,1
620,5
624,1
625,8
628,8
630,2
635,8
636,1
637,8
641,1
644,1
648,8
654,8
658,1
664,1
666,1
667,5
670,1
672,5
674,8
676,1
684,1
685,6
693,2
694,8
700,1
702,6
703,5
705,5
711,8
718,2
722,1
726,1
727,1
732,1
735,8
740,2
748,8
750,1
751,1
756,1
762,5
766,1
770,5
771,1
779,1
782,5
784,8
793,5
798,1
800,5
801,8
805,2
807,8
813,1
819,8
820,1
822,8
823,5
833,8
834,1
842,1
845,1
856,8
860,6
864,5
869,1
872,8
877,1
878,8
893,1
894,8
896,1
899,1
900,1
911,1
914,8
917,1
919,1
923,6
925,8
926,2
934,1
938,1
940,1
955,1
956,1
971,2
973,1
978,8
979,1
981,1
988,8
990,8
992,1
996,5
997,1
999,1
1000,8
1006,1
1009,6
1018,5
1025,6
1038,6
1042,1
1045,5
1046,1
1047,6
1050,5
1052,6
1054,1
1057,1
1061,1
1069,1
1071,5
1073,6
1074,1
1075,2
1083,5
1084,1
1089,1
1099,5
1103,5
1110,1
1123,8
1130,5
1135,5
1137,1
1145,1
1147,2
1152,8
1153,1
1154,8
1158,1
1166,6
1170,6
1172,1
1178,8
1179,8
1181,1
1182,1
1183,8
1191,5
1192,1
1200,1
1205,5
1207,8
1208,3
1209,2
1217,5
1223,1
1225,1
1226,5
1228,1
1230,5
1232,8
1235,8
1237,5
1257,1
1266,5
1267,6
1274,8
1277,1
1278,5
1280,8
1282,8
1293,6
1294,1
1305,5
1306,1
1311,1
1318,5
1320,1
1323,8
1325,1
1328,5
1336,5
1340,5
1341,1
1344,5
1345,5
1348,1
1358,1
1361,1
1364,1
1373,1
1377,6
1378,1
1380,5
1382,1
1383,5
1386,8
1387,1
1390,2
1395,8
1398,2
1402,5
1403,8
1405,8
1407,8
1410,1
