Id,Response
1,6
3,6
4,8
9,8
12,8
13,8
21,8
28,8
30,5
36,6
38,8
43,8
45,6
48,8
50,6
51,8
54,6
55,6
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,8
86,8
89,8
90,2
92,8
98,5
100,6
105,5
115,8
119,2
124,6
127,8
133,8
140,5
141,8
143,5
151,2
154,8
157,8
163,6
166,6
168,8
170,8
173,8
180,8
182,8
184,6
185,8
195,8
196,8
197,8
212,5
213,8
219,8
225,6
227,5
232,6
239,8
247,1
251,2
254,6
261,6
264,6
267,8
272,8
275,8
277,8
283,8
284,1
287,8
291,8
293,8
294,6
305,8
307,6
309,8
311,5
322,8
323,6
326,5
330,6
335,8
337,8
338,5
341,1
346,6
348,8
352,5
356,8
358,1
366,6
369,6
373,6
375,2
381,6
384,8
386,6
396,8
397,2
399,8
405,8
412,8
417,5
421,1
425,6
427,8
430,6
432,6
433,8
436,8
438,6
441,8
442,5
444,6
446,8
448,6
450,8
454,8
465,8
470,1
472,6
475,6
484,8
495,8
497,8
498,8
501,5
502,6
505,8
515,1
516,8
527,8
529,5
531,6
533,8
537,6
541,8
546,8
548,8
549,8
550,8
553,8
559,8
561,5
564,5
574,6
578,6
579,6
580,8
582,6
584,8
588,6
596,5
602,6
603,2
613,6
614,6
619,6
620,8
624,8
625,8
628,8
630,6
635,8
636,8
637,8
641,8
644,8
648,8
654,8
658,8
664,8
666,6
667,8
670,8
672,5
674,8
676,8
684,8
685,6
693,1
694,8
700,6
702,6
703,1
705,8
711,8
718,6
722,8
726,8
727,6
732,8
735,8
740,8
748,8
750,6
751,8
756,5
762,5
766,8
770,8
771,8
779,8
782,6
784,8
793,6
798,6
800,6
801,8
805,6
807,8
813,8
819,8
820,6
822,8
823,8
833,8
834,8
842,6
845,6
856,8
860,6
864,5
869,5
872,8
877,6
878,8
893,6
894,8
896,8
899,8
900,8
911,5
914,8
917,1
919,8
923,6
925,8
926,2
934,6
938,6
940,5
955,5
956,8
971,2
973,5
978,8
979,8
981,8
988,8
990,8
992,6
