Id,Response
1,6
3,8
4,6
9,8
12,6
13,2
21,6
28,8
30,2
36,6
38,8
43,8
45,6
48,8
50,3
51,8
54,6
55,8
59,8
62,2
63,6
66,8
69,8
82,8
83,6
84,8
86,8
89,8
90,2
92,8
98,5
100,6
105,8
115,8
119,2
124,6
127,8
133,8
140,5
141,8
143,5
151,2
154,3
157,8
163,1
166,6
168,8
170,3
173,8
180,1
182,8
184,8
185,8
195,8
196,8
197,6
212,6
213,8
219,8
225,6
227,8
232,1
239,8
247,6
251,5
254,6
261,6
264,6
267,6
272,8
275,8
277,2
283,8
284,1
287,8
291,8
293,8
294,1
305,8
307,6
309,8
311,5
322,6
323,6
326,5
330,6
335,8
337,5
338,5
341,1
346,1
348,8
352,5
356,8
358,1
366,1
369,6
373,6
375,2
381,6
384,8
386,6
396,8
397,2
399,8
405,8
412,8
417,2
421,1
425,6
427,8
430,6
432,6
433,8
436,8
438,8
441,8
442,5
444,6
446,5
448,6
450,8
454,8
465,8
470,1
472,6
475,6
484,8
495,8
497,8
498,8
501,5
502,6
505,8
515,1
516,8
527,8
529,5
531,6
533,8
537,6
541,8
546,6
548,8
549,8
550,8
553,8
559,8
561,1
564,5
574,6
578,6
579,6
580,8
582,2
584,8
588,6
596,5
602,6
603,2
613,6
614,2
619,6
620,8
624,8
625,8
628,1
630,2
635,8
636,8
637,8
641,8
644,8
648,8
654,5
658,8
664,8
666,6
667,8
670,8
672,5
674,8
676,8
684,8
685,6
693,1
694,8
700,6
702,6
703,1
705,6
711,8
718,6
722,6
726,1
727,6
732,8
735,8
740,1
748,8
750,6
751,8
756,5
762,5
766,8
770,8
771,8
779,5
782,6
784,8
793,5
798,6
800,6
801,6
805,6
807,8
813,8
819,8
820,6
822,8
823,8
833,8
834,5
842,6
845,6
856,8
860,6
864,1
869,5
872,8
877,6
878,8
893,6
894,8
896,8
899,5
900,8
911,5
914,8
917,1
919,5
923,6
925,8
926,2
934,6
938,6
940,8
955,6
956,8
971,1
973,6
978,8
979,8
981,8
988,8
990,8
992,6
996,8
997,6
999,6
1000,8
1006,6
1009,1
1018,1
1025,6
1038,8
1042,8
1045,1
1046,8
1047,6
1050,6
1052,5
1054,6
1057,6
1061,6
1069,6
1071,6
1073,6
1074,8
1075,6
1083,5
1084,1
1089,5
1099,8
1103,2
1110,8
1123,8
1130,5
1135,8
1137,8
1145,8
1147,6
1152,8
1153,1
1154,8
1158,6
1166,6
1170,8
1172,6
1178,8
1179,8
1181,6
1182,5
1183,8
1191,5
1192,2
1200,6
1205,5
1207,8
1208,6
1209,2
1217,5
1223,6
1225,8
1226,1
1228,3
1230,6
1232,8
1235,8
1237,5
1257,5
1266,1
1267,6
1274,8
1277,8
1278,5
1280,8
1282,8
1293,6
1294,2
1305,8
1306,6
1311,6
1318,5
1320,6
1323,8
1325,5
1328,5
1336,5
1340,8
1341,8
1344,8
1345,8
1348,6
1358,2
1361,8
1364,6
1373,6
1377,6
1378,8
1380,8
1382,8
1383,5
1386,8
1387,2
1390,1
1395,8
1398,8
1402,5
1403,8
1405,8
1407,8
1410,1
1412,2
1419,8
1426,8
1428,8
1436,6
1437,8
1438,6
1441,8
1444,8
1448,1
1454,8
1457,5
1459,8
1463,2
1467,2
1471,5
1475,5
1476,6
1480,6
1481,5
1482,8
1489,1
1491,6
1494,8
1496,6
1500,8
1501,8
1503,8
1504,5
1505,6
1515,1
1517,6
1520,5
1521,6
1523,8
1526,5
1529,8
1530,8
1543,6
1544,8
1547,5
1550,8
1552,5
1554,6
1563,8
1574,8
1575,2
1576,5
1579,5
1582,1
1584,8
1585,8
1589,5
1596,6
1598,2
1611,1
1613,5
1615,6
1618,1
1627,5
1630,6
1638,8
1639,8
1640,8
1642,8
1645,5
1648,5
1654,1
1661,8
1662,6
1663,8
1666,1
1668,1
1670,6
1672,5
1681,1
1682,8
1683,6
1687,8
1688,8
1693,5
